brand,name,type,size,stock_units,last_import_date,days_since_import,status
Bibica,Soft drink,Cola,500ml,585,2023-01-22,465,Dead stock
Coca-Cola,Cooking oil,Sunflower,500ml,108,2024-02-17,74,Active
Orion,Cooking oil,Vegan,1L,125,2023-12-27,126,Slow moving
Sabeco,Soft drink,Energy drink,180ml,143,2024-01-18,104,Slow moving
Bibica,Milk,Low fat,500ml,1056,2023-06-27,309,Dead stock
TH True Milk,Soft drink,Orange soda,330ml,363,2024-02-19,72,Active
Neptune,Soft drink,Energy drink,5L,874,2023-09-13,231,Dead stock
Kinh Do,Instant noodle,Chicken,330ml,343,2024-03-03,59,Active
Orion,Instant noodle,Chicken,100g,597,2023-07-25,281,Dead stock
Pepsi,Milk,Condensed,200g,548,2023-10-19,195,Dead stock
Masan,Instant noodle,Chicken,500g,368,2024-02-04,87,Active
Sabeco,Instant noodle,Beef,50g,208,2024-02-14,77,Active
Nestle,Candy,Hard candy,50g,56,2024-03-27,35,Active
Neptune,Candy,Fruit flavored,330ml,106,2024-01-24,98,Slow moving
Coca-Cola,Cooking oil,Vegetable,1L,449,2023-09-14,230,Dead stock
Bibica,Cooking oil,Sunflower,380g,348,2023-12-15,138,Slow moving
Orion,Milk,Unsweetened,180ml,865,2023-01-08,479,Dead stock
Sabeco,Candy,Gummy,5L,399,2024-04-03,28,Active
Pepsi,Cooking oil,Olive,500g,284,2024-02-21,70,Active
TH True Milk,Milk,Vegan,500ml,565,2023-07-22,284,Dead stock
Nestle,Milk,Low fat,100g,750,2023-09-25,219,Dead stock
Coca-Cola,Instant noodle,Spicy,500g,156,2024-04-04,27,Active
Pepsi,Instant noodle,Spicy,500g,70,2024-03-18,44,Active
Bibica,Milk,Condensed,50g,291,2024-03-29,33,Active
Sabeco,Soft drink,Green tea,500g,570,2023-05-07,360,Dead stock
Tan Hiep Phat,Milk,Sweetened,1L,318,2024-03-11,51,Active
Pepsi,Candy,Fruit flavored,500g,171,2024-02-18,73,Active
Sabeco,Candy,Hard candy,200g,446,2023-08-15,260,Dead stock
TH True Milk,Instant noodle,Vegetarian,100g,323,2023-08-24,251,Dead stock
Kinh Do,Instant noodle,Spicy,330ml,364,2024-04-12,19,Active
Kinh Do,Candy,Fruit flavored,200g,389,2023-12-10,143,Slow moving
Masan,Milk,Unsweetened,500ml,389,2023-11-16,167,Slow moving
TH True Milk,Milk,Vegan,380g,149,2024-04-07,24,Active
Vinamilk,Instant noodle,Vegetarian,50g,129,2024-03-06,56,Active
TH True Milk,Candy,Fruit flavored,200g,111,2024-04-09,22,Active
TH True Milk,Instant noodle,Beef,180ml,117,2024-03-23,39,Active
Coca-Cola,Milk,Condensed,5L,1078,2022-12-22,496,Dead stock
Orion,Milk,Vegan,5L,384,2024-02-04,87,Active
TH True Milk,Instant noodle,Chicken,100g,224,2023-12-13,140,Slow moving
TH True Milk,Instant noodle,Spicy,1L,307,2024-02-18,73,Active
Sabeco,Soft drink,Energy drink,500ml,949,2023-03-28,400,Dead stock
Bibica,Candy,Chocolate,50g,144,2023-11-16,167,Slow moving
Masan,Instant noodle,Spicy,380g,394,2024-03-30,32,Active
Tan Hiep Phat,Instant noodle,Spicy,5L,940,2023-06-26,310,Dead stock
Coca-Cola,Instant noodle,Vegetarian,500g,75,2023-12-27,126,Slow moving
Sabeco,Milk,Sweetened,500ml,192,2024-04-12,19,Active
Tan Hiep Phat,Soft drink,Green tea,50g,361,2024-04-21,10,Active
Orion,Milk,Condensed,200g,838,2023-03-05,423,Dead stock
TH True Milk,Cooking oil,Sunflower,330ml,346,2023-12-10,143,Slow moving
TH True Milk,Soft drink,Green tea,500ml,390,2022-12-28,490,Dead stock
Pepsi,Soft drink,Green tea,380g,182,2024-02-21,70,Active
Orion,Soft drink,Green tea,50g,372,2024-04-05,26,Active
Masan,Cooking oil,Vegetable,500ml,361,2024-02-18,73,Active
Orion,Soft drink,Cola,5L,445,2023-01-20,467,Dead stock
Kinh Do,Milk,Condensed,50g,142,2023-12-10,143,Slow moving
Sabeco,Candy,Hard candy,2L,307,2024-03-10,52,Active
Kinh Do,Cooking oil,Olive,180ml,124,2024-02-16,75,Active
TH True Milk,Milk,Low fat,200g,237,2024-03-12,50,Active
Coca-Cola,Milk,Condensed,50g,301,2023-06-27,309,Dead stock
Masan,Cooking oil,Sunflower,180ml,373,2023-12-30,123,Slow moving
Orion,Cooking oil,Vegetable,5L,248,2024-02-17,74,Active
Coca-Cola,Soft drink,Orange soda,100g,470,2023-01-28,459,Dead stock
Sabeco,Milk,Condensed,380g,917,2023-02-11,445,Dead stock
Bibica,Instant noodle,Vegetarian,500ml,156,2024-04-16,15,Active
Tan Hiep Phat,Instant noodle,Beef,380g,288,2024-02-13,78,Active
Coca-Cola,Cooking oil,Vegan,2L,212,2023-11-19,164,Slow moving
Neptune,Instant noodle,Vegetarian,100g,51,2024-02-29,62,Active
TH True Milk,Soft drink,Energy drink,200g,1001,2023-10-19,195,Dead stock
Kinh Do,Cooking oil,Olive,2L,187,2023-11-08,175,Slow moving
Sabeco,Milk,Unsweetened,1L,346,2024-04-17,14,Active
Vinamilk,Soft drink,Green tea,100g,105,2024-02-04,87,Active
Sabeco,Candy,Fruit flavored,500ml,752,2023-10-12,202,Dead stock
Kinh Do,Milk,Low fat,180ml,328,2023-11-23,160,Slow moving
Tan Hiep Phat,Milk,Condensed,2L,843,2023-07-01,305,Dead stock
Coca-Cola,Milk,Sweetened,500ml,367,2023-07-04,302,Dead stock
Neptune,Soft drink,Green tea,5L,182,2024-04-11,20,Active
Masan,Instant noodle,Spicy,100g,325,2024-03-21,41,Active
Pepsi,Candy,Hard candy,100g,304,2024-04-08,23,Active
Tan Hiep Phat,Instant noodle,Beef,100g,184,2024-04-09,22,Active
TH True Milk,Soft drink,Orange soda,200g,1140,2023-03-14,414,Dead stock
Kinh Do,Milk,Low fat,100g,166,2024-02-13,78,Active
Sabeco,Candy,Chocolate,2L,827,2023-09-30,214,Dead stock
Vinamilk,Instant noodle,Chicken,380g,90,2024-02-09,82,Active
Kinh Do,Milk,Unsweetened,50g,419,2023-06-29,307,Dead stock
Kinh Do,Instant noodle,Vegetarian,5L,441,2023-04-19,378,Dead stock
Orion,Instant noodle,Spicy,50g,542,2023-08-30,245,Dead stock
Coca-Cola,Cooking oil,Olive,5L,366,2024-04-05,26,Active
TH True Milk,Soft drink,Orange soda,380g,454,2023-06-15,321,Dead stock
Nestle,Milk,Condensed,380g,624,2023-03-20,408,Dead stock
Masan,Milk,Low fat,100g,701,2023-02-12,444,Dead stock
Kinh Do,Milk,Low fat,330ml,1009,2023-09-28,216,Dead stock
Masan,Candy,Gummy,1L,123,2024-03-07,55,Active
Masan,Instant noodle,Chicken,330ml,393,2024-04-03,28,Active
Orion,Candy,Hard candy,200g,914,2023-08-31,244,Dead stock
Sabeco,Milk,Sweetened,330ml,278,2024-02-04,87,Active
Coca-Cola,Candy,Hard candy,180ml,63,2024-02-10,81,Active
Sabeco,Instant noodle,Spicy,2L,963,2023-09-15,229,Dead stock
Masan,Soft drink,Orange soda,50g,337,2023-12-27,126,Slow moving
Vinamilk,Milk,Vegan,500g,311,2023-11-26,157,Slow moving
Pepsi,Milk,Low fat,100g,397,2023-11-07,176,Slow moving
Kinh Do,Instant noodle,Spicy,2L,961,2023-04-15,382,Dead stock
Tan Hiep Phat,Soft drink,Orange soda,5L,559,2023-06-20,316,Dead stock
Masan,Candy,Fruit flavored,1L,162,2024-04-06,25,Active
Masan,Milk,Sweetened,5L,484,2023-08-27,248,Dead stock
Kinh Do,Milk,Low fat,1L,279,2024-03-24,38,Active
Neptune,Soft drink,Green tea,180ml,755,2023-04-01,396,Dead stock
Pepsi,Soft drink,Energy drink,180ml,383,2024-03-27,35,Active
Nestle,Milk,Sweetened,500g,418,2023-08-13,262,Dead stock
Pepsi,Instant noodle,Vegetarian,5L,190,2024-02-16,75,Active
Vinamilk,Milk,Condensed,2L,477,2023-05-29,338,Dead stock
Masan,Instant noodle,Spicy,200g,101,2023-12-21,132,Slow moving
Masan,Soft drink,Energy drink,1L,137,2024-02-19,72,Active
TH True Milk,Instant noodle,Chicken,5L,261,2024-03-14,48,Active
Masan,Cooking oil,Vegetable,380g,1159,2023-10-24,190,Dead stock
Nestle,Candy,Gummy,1L,76,2024-02-16,75,Active
TH True Milk,Candy,Chocolate,5L,1051,2023-05-12,355,Dead stock
Tan Hiep Phat,Cooking oil,Vegan,330ml,110,2024-04-08,23,Active
Orion,Cooking oil,Olive,330ml,1142,2023-06-18,318,Dead stock
